step,tag
0,phase_start,1,Hopper-v4,80000
54,reward,1,Hopper-v4,82.2476951711197,82.248
71,reward,1,Hopper-v4,9.206308941982957,45.727
112,reward,1,Hopper-v4,51.327244620400094,47.594
128,reward,1,Hopper-v4,11.39175126319084,38.543
141,reward,1,Hopper-v4,10.505640287211545,32.936
169,reward,1,Hopper-v4,25.569177965846748,31.708
187,reward,1,Hopper-v4,10.859296906270988,28.73
204,reward,1,Hopper-v4,9.469892875787806,26.322
223,reward,1,Hopper-v4,14.76101885996783,25.038
232,reward,1,Hopper-v4,5.2790988453062555,23.062
250,reward,1,Hopper-v4,15.078484495354553,16.345
297,reward,1,Hopper-v4,48.06243429990193,20.23
312,reward,1,Hopper-v4,14.033485789177961,16.501
343,reward,1,Hopper-v4,37.0957848947075,19.071
392,reward,1,Hopper-v4,70.37305153387649,25.058
401,reward,1,Hopper-v4,7.054278308780338,23.207
414,reward,1,Hopper-v4,11.162823610392616,23.237
426,reward,1,Hopper-v4,9.667043211632901,23.257
449,reward,1,Hopper-v4,14.776403811218643,23.258
467,reward,1,Hopper-v4,11.761521718177596,23.907
485,reward,1,Hopper-v4,16.278021964896354,24.026
497,reward,1,Hopper-v4,8.529634404220067,20.073
521,reward,1,Hopper-v4,22.711391299458466,20.941
538,reward,1,Hopper-v4,5.933184129633968,17.825
582,reward,1,Hopper-v4,77.77176776714668,18.565
598,reward,1,Hopper-v4,14.140721988223767,19.273
615,reward,1,Hopper-v4,17.24359175354921,19.881
663,reward,1,Hopper-v4,40.308038019803476,22.945
676,reward,1,Hopper-v4,10.904814928200343,22.558
691,reward,1,Hopper-v4,8.990840872627665,22.281
703,reward,1,Hopper-v4,8.813579527531033,21.535
740,reward,1,Hopper-v4,24.532143190600014,23.135
757,reward,1,Hopper-v4,14.445506467249748,22.308
772,reward,1,Hopper-v4,7.061006345636143,22.421
810,reward,1,Hopper-v4,58.497263989263125,20.494
869,reward,1,Hopper-v4,85.37557760321297,27.617
909,reward,1,Hopper-v4,60.91336478414957,31.984
925,reward,1,Hopper-v4,10.025029421952384,28.956
952,reward,1,Hopper-v4,16.900429442027523,29.555
968,reward,1,Hopper-v4,12.678479130611786,29.924
1004,reward,1,Hopper-v4,58.346634036906316,34.878
1017,reward,1,Hopper-v4,9.266799607597344,33.351
1037,reward,1,Hopper-v4,12.913021234031858,33.198
1053,reward,1,Hopper-v4,9.467550641344598,33.438
1081,reward,1,Hopper-v4,31.937867484220444,30.782
1110,reward,1,Hopper-v4,20.872334038064196,24.332
1132,reward,1,Hopper-v4,18.48583404484605,20.089
1149,reward,1,Hopper-v4,14.94289396090807,20.581
1158,reward,1,Hopper-v4,7.304013021267345,19.622
1170,reward,1,Hopper-v4,10.548340348407619,19.409
1215,reward,1,Hopper-v4,53.79802534658383,18.954
1238,reward,1,Hopper-v4,17.9027314603222,19.817
1268,reward,1,Hopper-v4,34.02171655963212,21.928
1280,reward,1,Hopper-v4,8.730935107569682,21.854
1301,reward,1,Hopper-v4,11.859743005069001,19.847
1335,reward,1,Hopper-v4,25.018201569068754,20.261
1371,reward,1,Hopper-v4,13.277374816801249,19.74
1428,reward,1,Hopper-v4,97.45024634335888,27.991
1455,reward,1,Hopper-v4,25.171405037335596,29.778
1492,reward,1,Hopper-v4,47.810809123581066,33.504
1503,reward,1,Hopper-v4,6.20791414335216,28.745
1524,reward,1,Hopper-v4,19.028434717274532,28.858
1532,reward,1,Hopper-v4,5.028651051522428,25.958
1543,reward,1,Hopper-v4,7.012280837947932,25.787
1566,reward,1,Hopper-v4,25.200453902492537,27.121
1589,reward,1,Hopper-v4,9.932734817469257,25.612
1676,reward,1,Hopper-v4,191.85150959542042,43.469
1696,reward,1,Hopper-v4,14.260914561200321,35.151
1707,reward,1,Hopper-v4,5.995302677007163,33.233
1795,reward,1,Hopper-v4,132.92134446305005,41.744
1809,reward,1,Hopper-v4,11.405982722022795,42.264
1824,reward,1,Hopper-v4,7.96343304105106,41.157
1835,reward,1,Hopper-v4,7.834800485048308,41.438
1877,reward,1,Hopper-v4,61.16028617948203,46.853
1895,reward,1,Hopper-v4,19.221414482140823,46.255
1915,reward,1,Hopper-v4,17.928960386305548,47.054
1927,reward,1,Hopper-v4,9.480450611173758,28.817
1978,reward,1,Hopper-v4,62.39922559087382,33.631
1990,reward,1,Hopper-v4,9.831777081404537,34.015
2012,reward,1,Hopper-v4,21.129937442493986,22.836
