step,tag
0,phase_start,1,Hopper-v4,80000
31,reward,1,Hopper-v4,40.05624191200642,40.056
44,reward,1,Hopper-v4,12.06192284349516,26.059
56,reward,1,Hopper-v4,7.697984369566896,19.939
73,reward,1,Hopper-v4,14.884117529230185,18.675
125,reward,1,Hopper-v4,80.02342694700731,30.945
176,reward,1,Hopper-v4,62.70633709354212,36.238
190,reward,1,Hopper-v4,12.616574393909174,32.864
206,reward,1,Hopper-v4,11.58602810891042,30.204
222,reward,1,Hopper-v4,9.450522385335507,27.898
236,reward,1,Hopper-v4,11.25072461860984,26.233
257,reward,1,Hopper-v4,20.324197331670373,24.26
271,reward,1,Hopper-v4,6.32266023590379,23.686
284,reward,1,Hopper-v4,7.726207093957169,23.689
297,reward,1,Hopper-v4,11.269466326820837,23.328
327,reward,1,Hopper-v4,40.43545390334474,19.369
354,reward,1,Hopper-v4,23.1981455329657,15.418
370,reward,1,Hopper-v4,12.431739250053171,15.4
396,reward,1,Hopper-v4,32.656072931176574,17.507
422,reward,1,Hopper-v4,26.70751305943409,19.232
445,reward,1,Hopper-v4,26.155049830372377,20.723
455,reward,1,Hopper-v4,6.53632859603208,19.344
474,reward,1,Hopper-v4,10.238286991817276,19.735
483,reward,1,Hopper-v4,5.5090791237154,19.514
499,reward,1,Hopper-v4,7.437605615681938,19.131
509,reward,1,Hopper-v4,7.672882462931815,15.854
532,reward,1,Hopper-v4,14.343282470206605,14.969
544,reward,1,Hopper-v4,10.963324975501195,14.822
563,reward,1,Hopper-v4,18.299121136467527,13.386
573,reward,1,Hopper-v4,6.016452341428051,11.317
588,reward,1,Hopper-v4,11.582348422774961,9.86
616,reward,1,Hopper-v4,42.13494597370939,13.42
628,reward,1,Hopper-v4,9.134954898358888,13.309
642,reward,1,Hopper-v4,13.000589788482078,14.059
654,reward,1,Hopper-v4,7.5669974665988375,14.071
664,reward,1,Hopper-v4,7.590102302981785,14.063
692,reward,1,Hopper-v4,35.316168849754106,16.161
705,reward,1,Hopper-v4,12.116973478968685,16.276
723,reward,1,Hopper-v4,12.107434627962018,15.657
743,reward,1,Hopper-v4,11.628919642427789,16.218
754,reward,1,Hopper-v4,9.277365489059287,15.987
777,reward,1,Hopper-v4,22.452340112740288,14.019
