step,tag
0,phase_start,1,Walker2d-v4,80000
17,reward,1,Walker2d-v4,-5.046934553701137,-5.047
39,reward,1,Walker2d-v4,1.9216361200645025,-1.563
92,reward,1,Walker2d-v4,13.63251876284579,3.502
109,reward,1,Walker2d-v4,-1.0778853593194397,2.357
120,reward,1,Walker2d-v4,-5.220391420896159,0.842
142,reward,1,Walker2d-v4,3.252631351086466,1.244
164,reward,1,Walker2d-v4,-7.0077038417118365,0.065
186,reward,1,Walker2d-v4,-5.771479165078599,-0.665
199,reward,1,Walker2d-v4,-0.08486033709318452,-0.6
212,reward,1,Walker2d-v4,3.149151304104625,-0.225
239,reward,1,Walker2d-v4,3.141518860703308,0.594
301,reward,1,Walker2d-v4,16.27905073390256,2.029
326,reward,1,Walker2d-v4,-3.740175217404415,0.292
339,reward,1,Walker2d-v4,1.5940432696712303,0.559
377,reward,1,Walker2d-v4,17.124999727890078,2.794
387,reward,1,Walker2d-v4,0.2585181579439748,2.494
404,reward,1,Walker2d-v4,1.5510678570432561,3.35
426,reward,1,Walker2d-v4,-2.676917304143911,3.66
452,reward,1,Walker2d-v4,7.195456027317746,4.388
469,reward,1,Walker2d-v4,-6.601954266407903,3.413
485,reward,1,Walker2d-v4,-8.534882257524844,2.245
500,reward,1,Walker2d-v4,-1.6900889732232516,0.448
541,reward,1,Walker2d-v4,10.322571314190679,1.854
559,reward,1,Walker2d-v4,-7.899436505805124,0.905
590,reward,1,Walker2d-v4,11.850598884395218,0.377
612,reward,1,Walker2d-v4,1.013267640592322,0.453
622,reward,1,Walker2d-v4,-1.822673475506875,0.116
635,reward,1,Walker2d-v4,-0.31983974777782365,0.351
673,reward,1,Walker2d-v4,2.4325357320966634,-0.125
693,reward,1,Walker2d-v4,-5.852806501184881,-0.05
702,reward,1,Walker2d-v4,-2.356205357012047,0.568
724,reward,1,Walker2d-v4,-3.2926658046282267,0.408
735,reward,1,Walker2d-v4,2.6425450525239906,-0.36
753,reward,1,Walker2d-v4,-6.904044916187695,-0.261
778,reward,1,Walker2d-v4,6.707611675374498,-0.775
796,reward,1,Walker2d-v4,-12.928181198434025,-2.169
805,reward,1,Walker2d-v4,-2.5623534837111874,-2.243
834,reward,1,Walker2d-v4,-9.091217845967968,-3.12
889,reward,1,Walker2d-v4,32.17577926019524,-0.146
905,reward,1,Walker2d-v4,0.4933822725596251,0.488
923,reward,1,Walker2d-v4,1.7168003569444201,0.896
940,reward,1,Walker2d-v4,7.835606669040464,2.009
953,reward,1,Walker2d-v4,-3.3183435685491127,1.413
967,reward,1,Walker2d-v4,2.910481384077024,2.394
977,reward,1,Walker2d-v4,-4.586958183299478,1.264
1009,reward,1,Walker2d-v4,11.302165904926866,3.688
1041,reward,1,Walker2d-v4,0.13189129957508183,3.957
1073,reward,1,Walker2d-v4,5.723273074172512,5.438
1089,reward,1,Walker2d-v4,0.32080036022940894,2.253
1102,reward,1,Walker2d-v4,1.4964169110262575,2.353
1129,reward,1,Walker2d-v4,9.093492255105597,3.091
1139,reward,1,Walker2d-v4,-1.7115254950709298,2.136
1151,reward,1,Walker2d-v4,-2.503825452557619,2.218
1187,reward,1,Walker2d-v4,-5.247358500169426,1.402
1205,reward,1,Walker2d-v4,0.1215838665747484,1.873
1227,reward,1,Walker2d-v4,1.060998319432342,0.849
1253,reward,1,Walker2d-v4,-9.908993809413944,-0.156
1292,reward,1,Walker2d-v4,22.801985417840452,1.552
1306,reward,1,Walker2d-v4,1.7904516487858173,1.699
1320,reward,1,Walker2d-v4,1.0254474749916198,1.652
1353,reward,1,Walker2d-v4,3.4558877280983897,1.088
1374,reward,1,Walker2d-v4,2.462298606395893,1.506
1403,reward,1,Walker2d-v4,2.833074186551082,2.04
1436,reward,1,Walker2d-v4,-4.29132170775585,2.135
1464,reward,1,Walker2d-v4,7.529130421199121,2.876
1482,reward,1,Walker2d-v4,-10.77351909498561,1.692
1501,reward,1,Walker2d-v4,-2.296676530351293,2.454
1525,reward,1,Walker2d-v4,-1.3259780788124522,0.041
1538,reward,1,Walker2d-v4,-0.06718918691128106,-0.145
1552,reward,1,Walker2d-v4,3.6215518937368794,0.115
1573,reward,1,Walker2d-v4,1.0345972237327987,-0.127
1607,reward,1,Walker2d-v4,18.73929830728415,1.5
1618,reward,1,Walker2d-v4,-6.362584944126799,0.581
1636,reward,1,Walker2d-v4,2.3696513743697847,1.247
1660,reward,1,Walker2d-v4,-1.7997299032573753,0.314
1682,reward,1,Walker2d-v4,2.1008554983970167,1.601
1702,reward,1,Walker2d-v4,0.5012955804615752,1.881
1723,reward,1,Walker2d-v4,6.205576195533043,2.634
1747,reward,1,Walker2d-v4,10.602724527944531,3.701
1777,reward,1,Walker2d-v4,1.0831133106293542,3.447
1790,reward,1,Walker2d-v4,1.4799230418424216,3.492
1810,reward,1,Walker2d-v4,0.5778862210808315,1.676
1826,reward,1,Walker2d-v4,-2.8228857009276984,2.03
1839,reward,1,Walker2d-v4,4.049983714369671,2.198
1858,reward,1,Walker2d-v4,-0.44982202369623925,2.333
1879,reward,1,Walker2d-v4,-0.3835742053757867,2.084
1896,reward,1,Walker2d-v4,-11.12454237769105,0.922
1906,reward,1,Walker2d-v4,0.49551330964723417,0.351
1938,reward,1,Walker2d-v4,-0.8338613174972753,-0.793
1976,reward,1,Walker2d-v4,22.631180809646505,1.362
2002,reward,1,Walker2d-v4,-0.7830394177150393,1.136
2056,reward,1,Walker2d-v4,13.611032355216011,2.439
2078,reward,1,Walker2d-v4,-1.8611738546434806,2.535
2098,reward,1,Walker2d-v4,-8.809793511376746,1.249
