step,tag
0,phase_start,1,Walker2d-v4,80000
17,reward,1,Walker2d-v4,-2.4646818919762934,-2.465
48,reward,1,Walker2d-v4,2.035668939643363,-0.215
84,reward,1,Walker2d-v4,8.698934291838272,2.757
102,reward,1,Walker2d-v4,1.564978046433808,2.459
123,reward,1,Walker2d-v4,-4.817018855444481,1.004
159,reward,1,Walker2d-v4,13.14944359084275,3.028
177,reward,1,Walker2d-v4,-4.166486209830706,2.0
190,reward,1,Walker2d-v4,-6.302457342261312,0.962
203,reward,1,Walker2d-v4,1.1914315128927142,0.988
252,reward,1,Walker2d-v4,-1.3119475461309507,0.758
264,reward,1,Walker2d-v4,0.2510851146584413,1.029
279,reward,1,Walker2d-v4,-4.353272384786983,0.39
303,reward,1,Walker2d-v4,-2.476921662246707,-0.727
317,reward,1,Walker2d-v4,0.6410513942525653,-0.82
344,reward,1,Walker2d-v4,2.019194482165992,-0.136
372,reward,1,Walker2d-v4,0.7109712198251192,-1.38
387,reward,1,Walker2d-v4,4.449541178840248,-0.518
408,reward,1,Walker2d-v4,-5.955571162351269,-0.483
425,reward,1,Walker2d-v4,3.468392537989841,-0.256
448,reward,1,Walker2d-v4,7.238662495601145,0.599
465,reward,1,Walker2d-v4,2.9400704902590187,0.868
476,reward,1,Walker2d-v4,-2.1085796908458834,1.093
489,reward,1,Walker2d-v4,-4.2978107607840865,0.911
515,reward,1,Walker2d-v4,5.708050449784476,1.417
536,reward,1,Walker2d-v4,-6.9206146984483246,0.523
569,reward,1,Walker2d-v4,9.823187471249193,1.435
579,reward,1,Walker2d-v4,-2.279833679033029,0.762
590,reward,1,Walker2d-v4,-0.40645465177942564,1.317
611,reward,1,Walker2d-v4,-6.268406282529335,0.343
632,reward,1,Walker2d-v4,2.1606398880774496,-0.165
661,reward,1,Walker2d-v4,7.048545714128153,0.246
684,reward,1,Walker2d-v4,-1.6315393140820735,0.294
707,reward,1,Walker2d-v4,-5.717133726231842,0.152
720,reward,1,Walker2d-v4,2.572422124742877,-0.162
731,reward,1,Walker2d-v4,-2.458072648298005,0.284
768,reward,1,Walker2d-v4,0.7478382989145471,-0.623
781,reward,1,Walker2d-v4,-4.6440540724784825,-0.86
791,reward,1,Walker2d-v4,-7.630426114746512,-1.582
810,reward,1,Walker2d-v4,-11.722131669833036,-2.127
827,reward,1,Walker2d-v4,-2.387076762242375,-2.582
846,reward,1,Walker2d-v4,-3.865962447847087,-3.674
858,reward,1,Walker2d-v4,-3.9652406376200777,-3.907
879,reward,1,Walker2d-v4,-2.664245621345249,-3.602
898,reward,1,Walker2d-v4,-7.401108841707455,-4.599
919,reward,1,Walker2d-v4,-0.9026173723554028,-4.444
945,reward,1,Walker2d-v4,5.599181226627759,-3.958
967,reward,1,Walker2d-v4,13.014660286302318,-2.192
987,reward,1,Walker2d-v4,-2.0375870439756514,-1.633
1015,reward,1,Walker2d-v4,6.434155073138989,0.182
1024,reward,1,Walker2d-v4,-1.8135342977208884,0.24
1045,reward,1,Walker2d-v4,-5.049949077996148,0.121
1066,reward,1,Walker2d-v4,-0.33673438606059314,0.484
1087,reward,1,Walker2d-v4,0.5462861773137548,0.805
1107,reward,1,Walker2d-v4,4.430658193661989,1.988
1124,reward,1,Walker2d-v4,-11.35637711302582,0.943
1144,reward,1,Walker2d-v4,-3.033923102738524,0.08
1166,reward,1,Walker2d-v4,-0.5872746009522078,-1.28
1174,reward,1,Walker2d-v4,-4.530875687842721,-1.53
1190,reward,1,Walker2d-v4,-2.1398555840309355,-2.387
1205,reward,1,Walker2d-v4,-0.7607545742923577,-2.282
1216,reward,1,Walker2d-v4,1.2565610207414035,-1.651
1234,reward,1,Walker2d-v4,1.7003704698079547,-1.448
1243,reward,1,Walker2d-v4,-4.911329170630448,-1.993
1260,reward,1,Walker2d-v4,-6.940495643869325,-3.13
1285,reward,1,Walker2d-v4,-5.343348431052897,-2.529
1303,reward,1,Walker2d-v4,7.200445859178479,-1.506
1319,reward,1,Walker2d-v4,1.776803696464826,-1.269
1347,reward,1,Walker2d-v4,1.622154779322235,-0.654
1366,reward,1,Walker2d-v4,-0.7006439923500348,-0.51
1395,reward,1,Walker2d-v4,0.82893791049973,-0.351
1414,reward,1,Walker2d-v4,3.0073369371819947,-0.176
1441,reward,1,Walker2d-v4,2.0253910621149824,-0.143
1458,reward,1,Walker2d-v4,-8.592388688347574,-0.512
1472,reward,1,Walker2d-v4,-2.4070836422884185,-0.058
1515,reward,1,Walker2d-v4,18.671426395199735,2.343
1528,reward,1,Walker2d-v4,-0.24294235955626942,1.599
1541,reward,1,Walker2d-v4,1.8559635898994014,1.607
1558,reward,1,Walker2d-v4,-0.5436056654509147,1.39
1603,reward,1,Walker2d-v4,27.65154893057008,4.225
1620,reward,1,Walker2d-v4,1.989526544067692,4.342
1649,reward,1,Walker2d-v4,15.022364261113417,5.543
1666,reward,1,Walker2d-v4,-10.417365827356987,4.299
1681,reward,1,Walker2d-v4,2.3962193968490744,5.398
1708,reward,1,Walker2d-v4,3.6205128613058237,6.0
1723,reward,1,Walker2d-v4,-3.227325451947473,3.81
1737,reward,1,Walker2d-v4,-0.6086257345052852,3.774
1761,reward,1,Walker2d-v4,-3.429777111007808,3.245
1805,reward,1,Walker2d-v4,-0.49986618340964784,3.25
1818,reward,1,Walker2d-v4,2.3896087844279195,0.724
1841,reward,1,Walker2d-v4,2.7345530919756467,0.798
1866,reward,1,Walker2d-v4,1.4682273497325238,-0.557
1874,reward,1,Walker2d-v4,-2.9460771640248695,0.19
1898,reward,1,Walker2d-v4,-5.984792998609835,-0.648
1920,reward,1,Walker2d-v4,2.9518302498795386,-0.715
1943,reward,1,Walker2d-v4,0.624657919940427,-0.33
1957,reward,1,Walker2d-v4,-0.931104115664072,-0.362
1977,reward,1,Walker2d-v4,-2.4569571894866367,-0.265
1998,reward,1,Walker2d-v4,-0.4566570522756799,-0.261
2017,reward,1,Walker2d-v4,-4.837444542123284,-0.983
2035,reward,1,Walker2d-v4,5.987708936481164,-0.658
2055,reward,1,Walker2d-v4,-5.860503672073148,-1.391
2076,reward,1,Walker2d-v4,-11.039013426594623,-2.2
2097,reward,1,Walker2d-v4,-6.025511562793351,-2.204
2118,reward,1,Walker2d-v4,-6.520825611788897,-3.152
2142,reward,1,Walker2d-v4,5.294712324661742,-2.685
2156,reward,1,Walker2d-v4,1.0165431556196107,-2.49
2175,reward,1,Walker2d-v4,7.851655196443815,-1.459
2209,reward,1,Walker2d-v4,-4.386584838924787,-1.852
2226,reward,1,Walker2d-v4,-11.681375507628218,-2.536
2250,reward,1,Walker2d-v4,0.21540647896504983,-3.114
2269,reward,1,Walker2d-v4,-6.984478951279463,-3.226
2310,reward,1,Walker2d-v4,1.0276557314293626,-2.019
2329,reward,1,Walker2d-v4,-9.232744830664739,-2.34
2355,reward,1,Walker2d-v4,8.451413340841771,-0.843
2380,reward,1,Walker2d-v4,1.0644596319423008,-1.266
2412,reward,1,Walker2d-v4,10.699279688981866,-0.298
2437,reward,1,Walker2d-v4,-1.8197241008362923,-1.265
2457,reward,1,Walker2d-v4,-3.749197247067369,-1.201
2492,reward,1,Walker2d-v4,10.378147098876994,1.005
2514,reward,1,Walker2d-v4,-1.7086362016471204,0.813
2537,reward,1,Walker2d-v4,-0.01570962858621927,1.509
2564,reward,1,Walker2d-v4,12.471467811657863,2.654
2583,reward,1,Walker2d-v4,-1.7535419801572605,3.402
2600,reward,1,Walker2d-v4,-13.484489708940544,1.208
2622,reward,1,Walker2d-v4,1.572256852582682,1.259
2647,reward,1,Walker2d-v4,-8.19496789661276,-0.63
2670,reward,1,Walker2d-v4,6.30415152523346,0.182
2690,reward,1,Walker2d-v4,2.3805180454745907,0.795
2718,reward,1,Walker2d-v4,1.6599684846960279,-0.077
2746,reward,1,Walker2d-v4,-1.5384303003130477,-0.06
2760,reward,1,Walker2d-v4,-2.4336367280783104,-0.302
2796,reward,1,Walker2d-v4,6.686237405167063,-0.88
2807,reward,1,Walker2d-v4,-5.370829207724025,-1.242
2831,reward,1,Walker2d-v4,-1.5570610015274904,-0.049
2856,reward,1,Walker2d-v4,-3.0321802325273586,-0.51
2881,reward,1,Walker2d-v4,-3.228180084466951,-0.013
2895,reward,1,Walker2d-v4,-0.8997691115621982,-0.733
2908,reward,1,Walker2d-v4,-4.974972170448748,-1.469
2929,reward,1,Walker2d-v4,1.0956584074922078,-1.525
2964,reward,1,Walker2d-v4,7.641116442270388,-0.607
