step,tag
0,phase_start,1,Walker2d-v4,80000
10,reward,1,Walker2d-v4,-0.22712000141917943,-0.227
47,reward,1,Walker2d-v4,9.185437525345085,4.479
67,reward,1,Walker2d-v4,-0.31430513290144013,2.881
86,reward,1,Walker2d-v4,-1.791781013485228,1.713
114,reward,1,Walker2d-v4,2.1440254988357115,1.799
126,reward,1,Walker2d-v4,-3.842504271725022,0.859
139,reward,1,Walker2d-v4,-1.547271294511376,0.515
159,reward,1,Walker2d-v4,-2.2565156224119374,0.169
175,reward,1,Walker2d-v4,5.63946269021759,0.777
201,reward,1,Walker2d-v4,1.1700982047876969,0.816
214,reward,1,Walker2d-v4,-6.208132108252668,0.218
223,reward,1,Walker2d-v4,-3.5531243129088232,-1.056
260,reward,1,Walker2d-v4,2.7870644350168163,-0.746
274,reward,1,Walker2d-v4,-0.41580320987056396,-0.608
285,reward,1,Walker2d-v4,-4.542141920264411,-1.277
315,reward,1,Walker2d-v4,4.487124398460855,-0.444
335,reward,1,Walker2d-v4,1.7267250160728773,-0.117
348,reward,1,Walker2d-v4,-4.022870323767204,-0.293
368,reward,1,Walker2d-v4,-0.6673801555941881,-0.924
393,reward,1,Walker2d-v4,4.162608705810255,-0.625
405,reward,1,Walker2d-v4,-0.6526869289960218,-0.069
418,reward,1,Walker2d-v4,0.7075983019140442,0.357
435,reward,1,Walker2d-v4,-3.4356928331800063,-0.265
464,reward,1,Walker2d-v4,-2.3725398327159435,-0.461
483,reward,1,Walker2d-v4,1.13563102700363,0.107
496,reward,1,Walker2d-v4,-2.8168170424336276,-0.624
506,reward,1,Walker2d-v4,-2.5580253058735156,-1.052
517,reward,1,Walker2d-v4,0.07834864041295853,-0.642
528,reward,1,Walker2d-v4,-0.7707624378274949,-0.652
540,reward,1,Walker2d-v4,-0.9144652234173446,-1.16
553,reward,1,Walker2d-v4,-1.3081441965594547,-1.225
571,reward,1,Walker2d-v4,-2.9535383267610813,-1.592
582,reward,1,Walker2d-v4,-0.67914083984088,-1.316
596,reward,1,Walker2d-v4,3.8907234379154594,-0.69
614,reward,1,Walker2d-v4,-4.591431705475163,-1.262
624,reward,1,Walker2d-v4,-0.6246556854764074,-1.043
636,reward,1,Walker2d-v4,-0.4902210539164391,-0.836
664,reward,1,Walker2d-v4,1.9288183789186324,-0.651
683,reward,1,Walker2d-v4,9.137551349928287,0.34
699,reward,1,Walker2d-v4,4.431805872481531,0.874
711,reward,1,Walker2d-v4,-3.755809930952843,0.629
729,reward,1,Walker2d-v4,4.069388317425649,1.332
744,reward,1,Walker2d-v4,-0.9828189362751732,1.301
