step,tag
0,phase_start,1,Hopper-v4,80000
11,reward,1,Hopper-v4,8.966001299868669,8.966
44,reward,1,Hopper-v4,29.84886105691772,19.407
61,reward,1,Hopper-v4,18.083528493441726,18.966
78,reward,1,Hopper-v4,16.574384476302637,18.368
91,reward,1,Hopper-v4,9.262601059888066,16.547
105,reward,1,Hopper-v4,8.05816393231142,15.132
120,reward,1,Hopper-v4,12.339008028015002,14.733
136,reward,1,Hopper-v4,16.413881336779276,14.943
184,reward,1,Hopper-v4,32.39365761889775,16.882
198,reward,1,Hopper-v4,11.516333412841288,16.346
222,reward,1,Hopper-v4,25.37668141536248,17.987
240,reward,1,Hopper-v4,15.224562837127479,16.524
253,reward,1,Hopper-v4,12.42655264013375,15.959
262,reward,1,Hopper-v4,7.199418757276321,15.021
284,reward,1,Hopper-v4,18.57396243597739,15.952
311,reward,1,Hopper-v4,30.262399128938025,18.173
333,reward,1,Hopper-v4,12.221425177719901,18.161
429,reward,1,Hopper-v4,142.4991615395575,30.769
445,reward,1,Hopper-v4,17.14598535413944,29.245
462,reward,1,Hopper-v4,14.271211645640602,29.52
490,reward,1,Hopper-v4,24.2485694858904,29.407
508,reward,1,Hopper-v4,13.824930954018283,29.267
528,reward,1,Hopper-v4,22.377916963342315,30.262
543,reward,1,Hopper-v4,11.751375496042936,30.718
556,reward,1,Hopper-v4,12.012665740046826,30.062
573,reward,1,Hopper-v4,15.177385507264844,28.553
590,reward,1,Hopper-v4,10.463544338262542,28.377
601,reward,1,Hopper-v4,7.9452397433086155,14.922
614,reward,1,Hopper-v4,9.183217296610612,14.126
636,reward,1,Hopper-v4,6.540358242375306,13.353
645,reward,1,Hopper-v4,7.086240477502974,11.636
664,reward,1,Hopper-v4,1.5505191423056017,10.409
681,reward,1,Hopper-v4,15.187256606973426,9.69
710,reward,1,Hopper-v4,36.82581789814578,12.197
727,reward,1,Hopper-v4,12.712851803913455,12.267
752,reward,1,Hopper-v4,28.339074297439037,13.583
787,reward,1,Hopper-v4,45.3873755974533,17.076
835,reward,1,Hopper-v4,48.92853012674578,21.174
866,reward,1,Hopper-v4,18.48377954653341,22.104
896,reward,1,Hopper-v4,18.6432554392971,23.314
912,reward,1,Hopper-v4,14.171361890157238,24.023
932,reward,1,Hopper-v4,22.398665094573627,26.108
944,reward,1,Hopper-v4,10.904543247557806,25.68
952,reward,1,Hopper-v4,5.2584403691398105,22.523
970,reward,1,Hopper-v4,5.800452336410077,21.832
985,reward,1,Hopper-v4,13.12274325558219,20.31
994,reward,1,Hopper-v4,6.352350551030827,16.406
1010,reward,1,Hopper-v4,11.52617110325826,12.666
1032,reward,1,Hopper-v4,23.83438968790392,13.201
1051,reward,1,Hopper-v4,20.7596836461973,13.413
1087,reward,1,Hopper-v4,45.33144296737245,16.529
1107,reward,1,Hopper-v4,20.7583803127456,16.365
1129,reward,1,Hopper-v4,20.819716569369664,17.356
1149,reward,1,Hopper-v4,17.751658118514378,18.606
1165,reward,1,Hopper-v4,13.472927055241795,19.373
1183,reward,1,Hopper-v4,12.69717500626536,19.33
1192,reward,1,Hopper-v4,7.2865752895284235,19.424
1207,reward,1,Hopper-v4,16.38616975336049,19.91
1230,reward,1,Hopper-v4,24.146076619512733,19.941
1254,reward,1,Hopper-v4,13.55406350947167,19.22
1282,reward,1,Hopper-v4,7.998947734453652,15.487
1295,reward,1,Hopper-v4,12.503985861156782,14.662
1310,reward,1,Hopper-v4,15.17199512761636,14.097
1319,reward,1,Hopper-v4,6.544169141880047,12.976
1345,reward,1,Hopper-v4,28.880522542598595,14.517
1359,reward,1,Hopper-v4,9.956821349768756,14.243
1379,reward,1,Hopper-v4,17.546628816102327,15.269
1395,reward,1,Hopper-v4,14.326574023070954,15.063
1403,reward,1,Hopper-v4,6.046231907920808,13.253
1424,reward,1,Hopper-v4,20.335937253710192,13.931
1440,reward,1,Hopper-v4,7.904256685382036,13.922
1455,reward,1,Hopper-v4,13.865189179474543,14.058
1483,reward,1,Hopper-v4,28.43468158073625,15.384
1497,reward,1,Hopper-v4,11.89522053027322,15.919
1515,reward,1,Hopper-v4,13.348575354967739,14.366
1533,reward,1,Hopper-v4,16.267320686886794,14.997
1547,reward,1,Hopper-v4,11.46189913270222,14.389
1569,reward,1,Hopper-v4,26.27918355049519,15.584
1601,reward,1,Hopper-v4,41.74889365064498,19.154
1622,reward,1,Hopper-v4,23.50161334708153,19.471
1642,reward,1,Hopper-v4,19.110467201820843,20.591
1651,reward,1,Hopper-v4,6.315601647708983,19.836
1666,reward,1,Hopper-v4,7.829180093368985,17.776
1731,reward,1,Hopper-v4,92.03687941503325,25.79
1743,reward,1,Hopper-v4,10.162727387664564,25.471
1762,reward,1,Hopper-v4,11.955206571554719,25.04
1783,reward,1,Hopper-v4,16.18354884473231,25.512
1792,reward,1,Hopper-v4,7.049570685100503,23.589
1806,reward,1,Hopper-v4,12.296404378769305,20.644
1825,reward,1,Hopper-v4,11.24322979979216,19.418
1849,reward,1,Hopper-v4,11.881613791727629,18.695
1869,reward,1,Hopper-v4,14.520215037513262,19.516
1880,reward,1,Hopper-v4,8.486734861507557,19.582
1905,reward,1,Hopper-v4,30.034636401597897,13.381
1914,reward,1,Hopper-v4,6.059643607390723,12.971
1933,reward,1,Hopper-v4,13.383576830602816,13.114
1946,reward,1,Hopper-v4,8.314926137042686,12.327
1957,reward,1,Hopper-v4,9.317040912078118,12.554
1988,reward,1,Hopper-v4,10.360973306336259,12.36
2004,reward,1,Hopper-v4,11.150031048787941,12.351
2022,reward,1,Hopper-v4,15.819409383671562,12.745
2034,reward,1,Hopper-v4,10.482949131139772,12.341
2047,reward,1,Hopper-v4,5.866638421790579,12.079
2065,reward,1,Hopper-v4,16.620691325829014,10.738
2082,reward,1,Hopper-v4,16.585474752858484,11.79
2103,reward,1,Hopper-v4,24.330335002555778,12.885
2129,reward,1,Hopper-v4,8.9254251811244,12.946
2138,reward,1,Hopper-v4,6.595683611258874,12.674
2154,reward,1,Hopper-v4,12.846659718491193,12.922
2169,reward,1,Hopper-v4,9.525398070201428,12.76
2193,reward,1,Hopper-v4,12.009933426760755,12.379
2206,reward,1,Hopper-v4,11.992235905778825,12.53
2226,reward,1,Hopper-v4,13.51018413175508,13.294
2252,reward,1,Hopper-v4,19.572129231711475,13.589
2269,reward,1,Hopper-v4,12.542856192825578,13.185
2287,reward,1,Hopper-v4,13.01458438254632,12.054
2308,reward,1,Hopper-v4,26.514432983622516,13.812
2333,reward,1,Hopper-v4,10.595399484162586,14.212
2358,reward,1,Hopper-v4,28.164294514885544,15.744
2373,reward,1,Hopper-v4,9.718680937652179,15.763
2387,reward,1,Hopper-v4,11.010796001311183,15.664
2401,reward,1,Hopper-v4,11.530898376422098,15.617
2409,reward,1,Hopper-v4,5.863563184350026,14.853
2420,reward,1,Hopper-v4,8.409685376243164,13.737
2440,reward,1,Hopper-v4,18.388990803556055,14.321
2580,reward,1,Hopper-v4,197.92876080848143,32.813
2589,reward,1,Hopper-v4,5.7275666659823825,30.734
2608,reward,1,Hopper-v4,14.209673013640149,31.095
2620,reward,1,Hopper-v4,9.937989964297131,29.273
2640,reward,1,Hopper-v4,21.30525518360192,30.431
2666,reward,1,Hopper-v4,24.009297846611748,31.731
2677,reward,1,Hopper-v4,7.5498289373643415,31.333
2714,reward,1,Hopper-v4,53.607779800330306,36.107
2730,reward,1,Hopper-v4,11.953264967411963,36.462
2746,reward,1,Hopper-v4,16.083899356540453,36.231
2762,reward,1,Hopper-v4,14.922464230194747,17.931
2825,reward,1,Hopper-v4,80.95064570012036,25.453
