step,tag
0,phase_start,1,Walker2d-v4,80000
20,reward,1,Walker2d-v4,-2.447912333848363,-2.448
37,reward,1,Walker2d-v4,-2.8962398036147574,-2.672
58,reward,1,Walker2d-v4,-4.546200436490556,-3.297
78,reward,1,Walker2d-v4,-6.0976072066456,-3.997
97,reward,1,Walker2d-v4,-3.19266697896136,-3.836
121,reward,1,Walker2d-v4,7.287939590754312,-1.982
132,reward,1,Walker2d-v4,-3.269554319040137,-2.166
154,reward,1,Walker2d-v4,-6.346463045749886,-2.689
169,reward,1,Walker2d-v4,-0.7081977711183809,-2.469
182,reward,1,Walker2d-v4,0.5382096201942651,-2.168
191,reward,1,Walker2d-v4,-3.077978767087976,-2.231
210,reward,1,Walker2d-v4,-4.119960810710486,-2.353
224,reward,1,Walker2d-v4,2.8394826894418514,-1.615
237,reward,1,Walker2d-v4,-12.72205967961115,-2.277
253,reward,1,Walker2d-v4,0.23522746288140195,-1.934
266,reward,1,Walker2d-v4,0.26314608572158216,-2.637
280,reward,1,Walker2d-v4,1.2312413835659775,-2.187
294,reward,1,Walker2d-v4,-4.435750591544124,-1.996
313,reward,1,Walker2d-v4,-2.513650561022489,-2.176
324,reward,1,Walker2d-v4,0.611233465877856,-2.169
341,reward,1,Walker2d-v4,-2.7893635592793204,-2.14
355,reward,1,Walker2d-v4,1.2109648158119022,-1.607
374,reward,1,Walker2d-v4,-8.04272863157409,-2.695
392,reward,1,Walker2d-v4,9.192625702601996,-0.504
416,reward,1,Walker2d-v4,5.484171797590601,0.021
432,reward,1,Walker2d-v4,2.4834452278997032,0.243
448,reward,1,Walker2d-v4,-8.272356064484855,-0.707
467,reward,1,Walker2d-v4,-4.955567349433432,-0.759
489,reward,1,Walker2d-v4,3.702392724692097,-0.138
504,reward,1,Walker2d-v4,-0.9166765253068891,-0.29
516,reward,1,Walker2d-v4,1.5885211412242062,0.147
538,reward,1,Walker2d-v4,-4.085164898340736,-0.382
551,reward,1,Walker2d-v4,0.13052605606010803,0.435
567,reward,1,Walker2d-v4,-4.50730320038852,-0.935
583,reward,1,Walker2d-v4,-0.7028185009177923,-1.554
606,reward,1,Walker2d-v4,3.8772276712458167,-1.414
629,reward,1,Walker2d-v4,-3.6105045145211987,-0.948
641,reward,1,Walker2d-v4,-4.872469646972574,-0.94
663,reward,1,Walker2d-v4,-4.185898689050459,-1.728
671,reward,1,Walker2d-v4,-3.423658118239595,-1.979
682,reward,1,Walker2d-v4,-1.7543236315234734,-2.313
698,reward,1,Walker2d-v4,-3.609852973340462,-2.266
725,reward,1,Walker2d-v4,-1.263328344184084,-2.405
752,reward,1,Walker2d-v4,9.624622333913166,-0.992
769,reward,1,Walker2d-v4,-7.304598543966207,-1.652
786,reward,1,Walker2d-v4,5.627417571532417,-1.477
805,reward,1,Walker2d-v4,8.058846055408715,-0.31
819,reward,1,Walker2d-v4,-4.015281387220945,-0.225
832,reward,1,Walker2d-v4,1.7756084888856836,0.372
850,reward,1,Walker2d-v4,-3.7841828028959483,0.335
865,reward,1,Walker2d-v4,0.5736699655567068,0.568
885,reward,1,Walker2d-v4,-8.345982597533931,0.095
896,reward,1,Walker2d-v4,-0.8663889518961936,0.134
910,reward,1,Walker2d-v4,-5.078956488939454,-1.336
923,reward,1,Walker2d-v4,-1.9414925830156837,-0.8
937,reward,1,Walker2d-v4,-0.32590407484151207,-1.395
952,reward,1,Walker2d-v4,-1.9437565114592557,-2.395
960,reward,1,Walker2d-v4,-3.844494330273331,-2.378
975,reward,1,Walker2d-v4,4.02593989282736,-2.153
1000,reward,1,Walker2d-v4,-0.5038833002127976,-1.825
1011,reward,1,Walker2d-v4,-1.926441755893047,-2.075
1027,reward,1,Walker2d-v4,2.0097536559132387,-1.04
1044,reward,1,Walker2d-v4,6.723874190457629,-0.281
1067,reward,1,Walker2d-v4,3.681075810842227,0.595
1080,reward,1,Walker2d-v4,2.060062496806511,0.996
1099,reward,1,Walker2d-v4,-11.068501039844568,-0.079
