step,tag
0,phase_start,1,Walker2d-v4,80000
18,reward,1,Walker2d-v4,6.717991309212444,6.718
36,reward,1,Walker2d-v4,-7.5738239667003615,-0.428
55,reward,1,Walker2d-v4,2.6218871731384406,0.589
75,reward,1,Walker2d-v4,2.539661790456482,1.076
92,reward,1,Walker2d-v4,1.2956997575143492,1.12
107,reward,1,Walker2d-v4,-0.7303671467611554,0.812
124,reward,1,Walker2d-v4,1.2893693742024317,0.88
155,reward,1,Walker2d-v4,6.208753205415209,1.546
164,reward,1,Walker2d-v4,-2.2723116119314994,1.122
177,reward,1,Walker2d-v4,-0.05026725977381752,1.005
186,reward,1,Walker2d-v4,-0.06313431618840126,0.327
203,reward,1,Walker2d-v4,3.3715802162051522,1.421
244,reward,1,Walker2d-v4,-4.385106402501913,0.72
275,reward,1,Walker2d-v4,-3.4192742692361393,0.124
302,reward,1,Walker2d-v4,5.018648475436646,0.497
325,reward,1,Walker2d-v4,4.521232312509959,1.022
344,reward,1,Walker2d-v4,1.850833500144697,1.078
383,reward,1,Walker2d-v4,13.375099362757037,1.795
418,reward,1,Walker2d-v4,9.28856285077386,2.951
446,reward,1,Walker2d-v4,1.8993942386923248,3.146
463,reward,1,Walker2d-v4,2.5433301094140273,3.406
477,reward,1,Walker2d-v4,2.782155696633452,3.347
511,reward,1,Walker2d-v4,-7.393402874530878,3.047
536,reward,1,Walker2d-v4,-4.821920944365758,2.906
556,reward,1,Walker2d-v4,-4.072780218626733,1.997
593,reward,1,Walker2d-v4,7.994121272584276,2.345
621,reward,1,Walker2d-v4,11.191258386833265,3.279
636,reward,1,Walker2d-v4,-7.0476936201473945,1.236
645,reward,1,Walker2d-v4,-0.5250116966846755,0.255
657,reward,1,Walker2d-v4,-0.5089151438833378,0.014
673,reward,1,Walker2d-v4,-0.6945988739839188,-0.31
689,reward,1,Walker2d-v4,3.4369819314415735,-0.244
720,reward,1,Walker2d-v4,4.4010707585005635,0.935
742,reward,1,Walker2d-v4,-1.2094143734868839,1.297
751,reward,1,Walker2d-v4,-0.9002117312327091,1.614
777,reward,1,Walker2d-v4,8.180676594159285,1.632
789,reward,1,Walker2d-v4,-4.31644551100901,0.082
814,reward,1,Walker2d-v4,-1.1076963295054272,0.676
835,reward,1,Walker2d-v4,-3.8586542531215975,0.342
850,reward,1,Walker2d-v4,-3.823354947771523,0.011
865,reward,1,Walker2d-v4,0.17833665638867635,0.098
890,reward,1,Walker2d-v4,-2.0295902256792258,-0.449
917,reward,1,Walker2d-v4,7.95096457127285,-0.094
938,reward,1,Walker2d-v4,0.7994202532171268,0.107
966,reward,1,Walker2d-v4,7.8556235648250095,0.983
985,reward,1,Walker2d-v4,5.374712395354228,0.702
994,reward,1,Walker2d-v4,-1.316982583039485,1.002
1013,reward,1,Walker2d-v4,-5.850615300530532,0.528
1051,reward,1,Walker2d-v4,8.855195354854654,1.799
1066,reward,1,Walker2d-v4,-0.5316753175476323,2.129
1078,reward,1,Walker2d-v4,-0.43744711763852373,2.067
1104,reward,1,Walker2d-v4,2.777016673843734,2.548
1127,reward,1,Walker2d-v4,1.5898463649432928,1.912
1141,reward,1,Walker2d-v4,-0.11751179352733476,1.82
1199,reward,1,Walker2d-v4,-4.906847968277775,0.544
1209,reward,1,Walker2d-v4,-4.946533254365111,-0.489
1254,reward,1,Walker2d-v4,-4.8610004310351425,-0.843
1266,reward,1,Walker2d-v4,0.5408881867336202,-0.204
1280,reward,1,Walker2d-v4,-5.972495925783047,-1.687
1307,reward,1,Walker2d-v4,4.211925615875694,-1.212
1328,reward,1,Walker2d-v4,-4.203724756560155,-1.589
1352,reward,1,Walker2d-v4,7.255039707839916,-1.141
1363,reward,1,Walker2d-v4,1.9759893315131785,-1.102
1374,reward,1,Walker2d-v4,0.6322834179310743,-1.027
1395,reward,1,Walker2d-v4,1.6495383722751848,-0.372
1406,reward,1,Walker2d-v4,-0.8900474219806693,0.034
1418,reward,1,Walker2d-v4,2.508781323423942,0.771
1448,reward,1,Walker2d-v4,4.368950036881922,1.154
1467,reward,1,Walker2d-v4,6.3887081812756,2.39
1480,reward,1,Walker2d-v4,-4.119090219233124,1.557
1495,reward,1,Walker2d-v4,3.7470339592277053,2.352
1532,reward,1,Walker2d-v4,9.834079250073696,2.61
1556,reward,1,Walker2d-v4,7.9798696424612015,3.21
1582,reward,1,Walker2d-v4,6.311485809943776,3.778
1605,reward,1,Walker2d-v4,-1.8968523116223457,3.423
1619,reward,1,Walker2d-v4,-0.16484014551220816,3.496
1634,reward,1,Walker2d-v4,-1.8735243887831163,3.058
1647,reward,1,Walker2d-v4,0.3636280106977866,2.657
1679,reward,1,Walker2d-v4,1.9856981305424997,2.217
1689,reward,1,Walker2d-v4,-1.2621407025107252,2.502
1703,reward,1,Walker2d-v4,-1.2216226895214743,2.006
1741,reward,1,Walker2d-v4,13.308249557183203,2.353
1755,reward,1,Walker2d-v4,-2.88132836948736,1.267
1764,reward,1,Walker2d-v4,-4.413522001690504,0.194
1809,reward,1,Walker2d-v4,-5.255594008543282,-0.141
1819,reward,1,Walker2d-v4,-0.7560216205675712,-0.201
1827,reward,1,Walker2d-v4,-2.408298026371914,-0.254
1841,reward,1,Walker2d-v4,-3.7098089463460617,-0.661
1851,reward,1,Walker2d-v4,-0.24813004632405122,-0.885
1869,reward,1,Walker2d-v4,1.2197233750305065,-0.637
1903,reward,1,Walker2d-v4,16.817069517434852,1.167
1921,reward,1,Walker2d-v4,0.12964716342544724,-0.151
1944,reward,1,Walker2d-v4,5.077501735391742,0.645
1966,reward,1,Walker2d-v4,7.3136247820061495,1.818
1979,reward,1,Walker2d-v4,-6.5643452800218345,1.687
2000,reward,1,Walker2d-v4,-6.595528467757507,1.103
2023,reward,1,Walker2d-v4,-12.318684278315823,0.112
2049,reward,1,Walker2d-v4,9.555034110323884,1.439
2070,reward,1,Walker2d-v4,-5.4523383353139865,0.918
2090,reward,1,Walker2d-v4,-9.157346220954754,-0.12
2103,reward,1,Walker2d-v4,3.0992857782769034,-1.491
2122,reward,1,Walker2d-v4,-4.286543141222274,-1.933
2135,reward,1,Walker2d-v4,2.0165184371585054,-2.239
2151,reward,1,Walker2d-v4,2.2837755067038583,-2.742
