step,tag
0,phase_start,1,Walker2d-v4,80000
10,reward,1,Walker2d-v4,-2.982991782593305,-2.983
35,reward,1,Walker2d-v4,-0.27545133935781263,-1.629
55,reward,1,Walker2d-v4,5.096485617551381,0.613
83,reward,1,Walker2d-v4,4.779603525699376,1.654
99,reward,1,Walker2d-v4,-6.578958007868432,0.008
126,reward,1,Walker2d-v4,8.323180281524069,1.394
152,reward,1,Walker2d-v4,1.8857691124336,1.464
172,reward,1,Walker2d-v4,-5.324882968700948,0.615
220,reward,1,Walker2d-v4,26.713996586948575,3.515
233,reward,1,Walker2d-v4,1.6271135519488935,3.326
267,reward,1,Walker2d-v4,11.51165069563793,4.776
296,reward,1,Walker2d-v4,12.73268305465184,6.077
322,reward,1,Walker2d-v4,9.489465115987581,6.516
358,reward,1,Walker2d-v4,13.215814096534617,7.36
369,reward,1,Walker2d-v4,-0.4583748984159248,7.972
379,reward,1,Walker2d-v4,-2.1558909100785146,6.924
390,reward,1,Walker2d-v4,-0.4718899112753029,6.688
419,reward,1,Walker2d-v4,0.5206866362980689,7.273
434,reward,1,Walker2d-v4,0.09398038456252378,4.611
460,reward,1,Walker2d-v4,3.761947646598726,4.824
472,reward,1,Walker2d-v4,-0.794215213017878,3.593
486,reward,1,Walker2d-v4,-0.3747089336036524,2.283
517,reward,1,Walker2d-v4,1.177858165851153,1.452
534,reward,1,Walker2d-v4,-3.237864756875031,-0.194
555,reward,1,Walker2d-v4,6.767749098606499,0.529
569,reward,1,Walker2d-v4,1.0848959070291826,0.853
585,reward,1,Walker2d-v4,-6.255458513099664,0.274
598,reward,1,Walker2d-v4,-3.680407845167786,-0.146
614,reward,1,Walker2d-v4,-0.3056482939840681,-0.186
625,reward,1,Walker2d-v4,-3.548504328171137,-0.917
642,reward,1,Walker2d-v4,-7.884167660588556,-1.626
654,reward,1,Walker2d-v4,-1.551445777335638,-1.743
669,reward,1,Walker2d-v4,-0.552526842797481,-1.916
692,reward,1,Walker2d-v4,-1.112815530455565,-1.704
702,reward,1,Walker2d-v4,-3.1331487010986203,-2.694
719,reward,1,Walker2d-v4,1.2219565080295838,-2.68
757,reward,1,Walker2d-v4,1.276241973833844,-1.927
773,reward,1,Walker2d-v4,-10.008981419046798,-2.56
789,reward,1,Walker2d-v4,3.7777168482753014,-2.152
800,reward,1,Walker2d-v4,-3.7933885499658766,-2.176
812,reward,1,Walker2d-v4,-8.223845335456852,-2.21
